Empresa,URL atual,URL candidata,Plataforma atual,Plataforma proposta,Resultado,Detalhe,Evidência,Ação
Delta Air Lines,https://delta.avature.net/en_US/careers,https://delta.avature.net/en_US/careers,Avature,Avature,confirmed,confirmed_direct_ats,http=202; final=https://delta.avature.net/en_US/careers,keep
Docs,https://docs.inhire.com.br,https://docs.inhire.com.br,InHire,InHire,confirmed,confirmed_direct_ats,http=200; final=https://docs.inhire.com.br/,keep
Domino s Pizza,https://dominospizzabrasil.pandape.infojobs.com.br,https://dominospizzabrasil.pandape.infojobs.com.br,PandaPe,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://dominospizzabrasil.pandape.infojobs.com.br/; title=DOMINO&#x27;S PIZZA BRASIL - Trabalhe Conosco | Pandapé,keep
DuckDuckGo,https://jobs.ashbyhq.com/duck-duck-go,https://jobs.ashbyhq.com/duck-duck-go,Ashby,Ashby,confirmed,confirmed_direct_ats,http=200; final=https://jobs.ashbyhq.com/duck-duck-go,keep
Edenred (Ticket),https://wd3.myworkdaysite.com/pt-BR/recruiting/edenpeople/Edenred_Careers,https://wd3.myworkdaysite.com/pt-BR/recruiting/edenpeople/Edenred_Careers,Workday,Workday,confirmed,confirmed_direct_ats,http=200; final=https://wd3.myworkdaysite.com/pt-BR/recruiting/edenpeople/Edenred_Careers,keep
EMS,https://ems.izirh.io,https://ems.izirh.io,IziRH,IziRH,confirmed,confirmed_direct_ats,http=200; final=https://ems.izirh.io/,keep
EY,https://www.ey.com/pt_br/careers,https://www.ey.com/pt_br/careers,GigNow,GigNow,confirmed,confirmed_career_page,http=200; final=https://www.ey.com/pt_br/careers; title=Carreiras na EY | EY - Brasil,keep
Federação Paulista de Futebol,https://oportunidades.mindsight.com.br/fpf,https://oportunidades.mindsight.com.br/fpf,Mindsight,Mindsight,confirmed,confirmed_direct_ats,http=200; final=https://oportunidades.mindsight.com.br/fpf; title=Portal do Candidato,keep
FIAP,https://alura-fiap-pm3.inhire.app/vagas,https://alun.inhire.app/vagas,InHire,InHire,confirmed,confirmed_direct_ats,http=200; final=https://alun.inhire.app/vagas,replace
Ford,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs,OracleCloud,Oracle Cloud,confirmed,confirmed_career_page,http=200; final=https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs; title=Ford Global Career Site,replace
GE Healthcare,https://careers.gehealthcare.com,https://careers.gehealthcare.com/global/en,Phenom,Phenom,confirmed,confirmed_career_page,http=200; final=https://careers.gehealthcare.com/global/en; title=Careers at GE HealthCare | GE HealthCare jobs,replace
Grupo Carrefour,https://corporativo-grupocarrefourbrasil.pandape.infojobs.com.br,https://corporativo-grupocarrefourbrasil.pandape.infojobs.com.br,InfoJobs,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://corporativo-grupocarrefourbrasil.pandape.infojobs.com.br/; title=GRUPO CARREFOUR BRASIL (CORPORATIVO) - Trabalhe Conosco | Pandapé,keep
Grupo Habib's,https://grupohabibs.pandape.infojobs.com.br,https://grupohabibs.pandape.infojobs.com.br,InfoJobs,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://grupohabibs.pandape.infojobs.com.br/; title=GRUPO HABIB&#x27;S - Trabalhe Conosco | Pandapé,keep
Grupo Primo,https://jobs.quickin.io/grupo-primo/jobs,https://jobs.quickin.io/grupo-primo/jobs,Quickin,Quickin,confirmed,confirmed_direct_ats,http=200; final=https://jobs.quickin.io/grupo-primo/jobs; title=Vagas abertas- Grupo Primo,keep
Grupo RV,https://gruporv.pandape.infojobs.com.br,https://gruporv.pandape.infojobs.com.br,InfoJobs,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://gruporv.pandape.infojobs.com.br/; title=GRUPO RV - Trabalhe Conosco | Pandapé,keep
Hapvida NotreDame Intermédica,https://hapvidandi.pandape.infojobs.com.br,https://hapvidandi.pandape.infojobs.com.br,InfoJobs,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://hapvidandi.pandape.infojobs.com.br/; title=Hapvida NotreDame Interm&#xE9;dica - Trabalhe Conosco | Pandapé,keep
